Users,Datasets,Keep,Modify1,Modify2,Modify3,Modify4,Phase
1,birdstrikes1,0.75,0.15,0.05,0.0,0.05,First
1,birdstrikes1,0.625,0.3333333333333333,0.0,0.041666666666666664,0.0,Second
5,birdstrikes1,0.74,0.26,0.0,0.0,0.0,First
5,birdstrikes1,0.8032786885245902,0.16393442622950818,0.03278688524590164,0.0,0.0,Second
9,birdstrikes1,0.54,0.38,0.08,0.0,0.0,First
9,birdstrikes1,0.576271186440678,0.3559322033898305,0.0,0.06779661016949153,0.0,Second
109,birdstrikes1,0.78,0.18,0.02,0.0,0.02,First
109,birdstrikes1,0.8636363636363636,0.09090909090909091,0.0,0.045454545454545456,0.0,Second
13,birdstrikes1,0.68,0.26,0.03,0.0,0.03,First
13,birdstrikes1,0.5952380952380952,0.38095238095238093,0.0,0.023809523809523808,0.0,Second
25,birdstrikes1,0.73,0.21,0.02,0.0,0.05,First
25,birdstrikes1,0.6938775510204082,0.2857142857142857,0.02040816326530612,0.0,0.0,Second
29,birdstrikes1,0.61,0.3,0.04,0.0,0.04,First
29,birdstrikes1,0.7428571428571429,0.2,0.0,0.05714285714285714,0.0,Second
33,birdstrikes1,0.85,0.11,0.0,0.02,0.02,First
33,birdstrikes1,0.7586206896551724,0.1724137931034483,0.06896551724137931,0.0,0.0,Second
37,birdstrikes1,0.74,0.21,0.0,0.0,0.06,First
37,birdstrikes1,0.5909090909090909,0.36363636363636365,0.022727272727272728,0.022727272727272728,0.0,Second
53,birdstrikes1,0.74,0.22,0.02,0.0,0.02,First
53,birdstrikes1,0.6666666666666666,0.3,0.0,0.03333333333333333,0.0,Second
57,birdstrikes1,0.77,0.18,0.0,0.02,0.02,First
57,birdstrikes1,0.8,0.125,0.025,0.025,0.025,Second
61,birdstrikes1,0.83,0.11,0.04,0.01,0.0,First
61,birdstrikes1,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,Second
73,birdstrikes1,0.87,0.09,0.01,0.01,0.01,First
73,birdstrikes1,0.6511627906976745,0.3023255813953488,0.023255813953488372,0.023255813953488372,0.0,Second
77,birdstrikes1,0.84,0.11,0.0,0.02,0.02,First
77,birdstrikes1,0.703125,0.265625,0.03125,0.0,0.0,Second
81,birdstrikes1,0.82,0.12,0.0,0.0,0.06,First
81,birdstrikes1,0.7096774193548387,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,Second
85,birdstrikes1,0.43,0.36,0.14,0.0,0.07,First
85,birdstrikes1,0.6666666666666666,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.0,Second
97,birdstrikes1,0.88,0.08,0.02,0.0,0.02,First
97,birdstrikes1,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.0,0.0,Second
1,weather1,0.71,0.25,0.02,0.02,0.0,First
1,weather1,0.8653846153846154,0.09615384615384616,0.019230769230769232,0.019230769230769232,0.0,Second
5,weather1,0.82,0.14,0.0,0.0,0.05,First
5,weather1,0.8269230769230769,0.1346153846153846,0.0,0.0,0.038461538461538464,Second
113,weather1,0.62,0.34,0.0,0.0,0.03,First
113,weather1,0.8085106382978723,0.14893617021276595,0.02127659574468085,0.02127659574468085,0.0,Second
117,weather1,0.8,0.11,0.0,0.04,0.06,First
117,weather1,0.8541666666666666,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,Second
21,weather1,0.79,0.14,0.0,0.03,0.03,First
21,weather1,0.6818181818181818,0.2727272727272727,0.022727272727272728,0.0,0.022727272727272728,Second
25,weather1,0.81,0.11,0.0,0.04,0.04,First
25,weather1,0.8157894736842105,0.13157894736842105,0.0,0.05263157894736842,0.0,Second
29,weather1,0.79,0.14,0.0,0.03,0.03,First
29,weather1,0.9393939393939394,0.030303030303030304,0.0,0.030303030303030304,0.0,Second
41,weather1,0.74,0.15,0.04,0.04,0.02,First
41,weather1,0.7962962962962963,0.14814814814814814,0.0,0.05555555555555555,0.0,Second
45,weather1,0.54,0.38,0.04,0.04,0.0,First
45,weather1,0.7560975609756098,0.21951219512195122,0.0,0.0,0.024390243902439025,Second
53,weather1,0.77,0.2,0.0,0.03,0.0,First
53,weather1,0.8,0.12727272727272726,0.01818181818181818,0.05454545454545454,0.0,Second
65,weather1,0.68,0.16,0.0,0.11,0.05,First
65,weather1,0.88,0.08,0.04,0.0,0.0,Second
69,weather1,0.65,0.29,0.0,0.02,0.04,First
69,weather1,0.6181818181818182,0.3090909090909091,0.03636363636363636,0.01818181818181818,0.01818181818181818,Second
73,weather1,0.86,0.11,0.0,0.02,0.02,First
73,weather1,0.9111111111111111,0.06666666666666667,0.0,0.0,0.022222222222222223,Second
77,weather1,0.71,0.19,0.0,0.03,0.06,First
77,weather1,0.8947368421052632,0.05263157894736842,0.0,0.0,0.05263157894736842,Second
93,weather1,0.82,0.11,0.0,0.0,0.07,First
93,weather1,0.6511627906976745,0.23255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,Second
97,weather1,0.72,0.22,0.0,0.03,0.03,First
97,weather1,0.8679245283018868,0.11320754716981132,0.0,0.018867924528301886,0.0,Second
9,faa1,0.84,0.13,0.0,0.02,0.02,First
9,faa1,0.6888888888888889,0.2,0.1111111111111111,0.0,0.0,Second
109,faa1,0.74,0.21,0.05,0.0,0.0,First
109,faa1,0.8076923076923077,0.1346153846153846,0.019230769230769232,0.019230769230769232,0.019230769230769232,Second
13,faa1,0.57,0.43,0.0,0.0,0.0,First
13,faa1,0.72,0.2,0.08,0.0,0.0,Second
21,faa1,0.87,0.07,0.04,0.02,0.0,First
21,faa1,0.9285714285714286,0.047619047619047616,0.023809523809523808,0.0,0.0,Second
33,faa1,0.84,0.09,0.02,0.0,0.05,First
33,faa1,0.7435897435897436,0.1794871794871795,0.07692307692307693,0.0,0.0,Second
37,faa1,0.74,0.22,0.02,0.0,0.02,First
37,faa1,0.6271186440677966,0.3050847457627119,0.03389830508474576,0.01694915254237288,0.01694915254237288,Second
41,faa1,0.9,0.06,0.0,0.03,0.0,First
41,faa1,0.7391304347826086,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.0,Second
45,faa1,0.58,0.39,0.03,0.0,0.0,First
45,faa1,0.8,0.13333333333333333,0.06666666666666667,0.0,0.0,Second
57,faa1,0.83,0.12,0.02,0.0,0.02,First
57,faa1,0.6744186046511628,0.18604651162790697,0.06976744186046512,0.046511627906976744,0.023255813953488372,Second
65,faa1,0.83,0.1,0.03,0.0,0.03,First
65,faa1,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,Second
69,faa1,0.66,0.28,0.01,0.02,0.02,First
69,faa1,0.6904761904761905,0.2619047619047619,0.0,0.047619047619047616,0.0,Second
81,faa1,0.79,0.12,0.03,0.03,0.03,First
81,faa1,0.7435897435897436,0.15384615384615385,0.02564102564102564,0.0,0.07692307692307693,Second
85,faa1,0.6,0.3,0.05,0.0,0.05,First
85,faa1,0.7727272727272727,0.13636363636363635,0.09090909090909091,0.0,0.0,Second
89,faa1,0.68,0.3,0.02,0.0,0.0,First
89,faa1,0.8297872340425532,0.14893617021276595,0.02127659574468085,0.0,0.0,Second
93,faa1,0.61,0.37,0.02,0.0,0.0,First
93,faa1,0.7894736842105263,0.13157894736842105,0.02631578947368421,0.0,0.05263157894736842,Second
